,RA,dec,Earth Distance,Solar Distance,Elongation
64,330.8259583333333,-8.933083333333334,0.65297,0.40193,-15.4
65,330.4115,-8.546111111111111,0.66173,0.40724,-16.9
66,330.1070416666667,-8.191138888888888,0.67152,0.41239,-18.3
67,329.912125,-9.870666666666667,0.6822,0.41736,-19.5
68,329.82458333333335,-9.58625,0.69366,0.42214,-20.7
69,329.84116666666665,-9.338805555555556,0.70578,0.42672,-21.7
70,329.95762499999995,-9.12875,0.71846,0.43108,-22.7
71,330.16929166666665,-10.956027777777777,0.73161,0.43522,-23.5
72,330.47095833333333,-10.820333333333334,0.74516,0.43914,-24.3
73,330.857375,-10.721055555555555,0.75902,0.44281,-24.9
74,331.3232083333333,-10.657472222222221,0.77314,0.44623,-25.5
75,331.86325,-10.628805555555555,0.78746,0.44941,-26.0
76,332.4724583333333,-10.634166666666667,0.80193,0.45233,-26.5
77,333.14591666666666,-10.672611111111111,0.81652,0.45499,-26.8
78,333.87916666666666,-10.74325,0.83119,0.45738,-27.1
79,334.6679166666667,-10.845194444444445,0.8459,0.45951,-27.4
80,335.50808333333333,-10.977527777777778,0.86063,0.46136,-27.6
81,336.3960833333333,-9.139416666666667,0.87536,0.46294,-27.7
82,337.3285,-9.330083333333333,0.89007,0.46425,-27.8
83,338.30216666666666,-9.548694444444445,0.90473,0.46528,-27.8
84,339.3143333333333,-9.794555555555556,0.91935,0.46603,-27.8
85,340.36233333333337,-8.066916666666666,0.9339,0.4665,-27.7
86,341.44391666666667,-8.36511111111111,0.94837,0.4667,-27.6
87,342.55691666666667,-8.6885,0.96276,0.46661,-27.5
88,343.6994583333333,-7.036472222222223,0.97706,0.46625,-27.3
89,344.86987500000004,-7.408472222222223,0.99126,0.46561,-27.1
90,346.06670833333334,-7.803916666666667,1.00535,0.46469,-26.8
91,347.2885833333333,-6.222277777777778,1.01934,0.46349,-26.5
92,348.5344583333333,-6.663083333333334,1.03321,0.46201,-26.2
93,349.80325,-5.1257777777777775,1.04696,0.46027,-25.9
94,351.09425000000005,-5.609944444444444,1.06058,0.45825,-25.5
95,352.4066666666667,-4.115111111111111,1.07408,0.45596,-25.1
96,353.74012500000003,-4.6408611111111115,1.08743,0.4534,-24.6
97,355.09408333333334,-3.18675,1.10065,0.45059,-24.2
98,356.468375,-3.752361111111111,1.11371,0.44751,-23.7
99,357.862875,-2.3373055555555555,1.12662,0.44418,-23.2
100,359.2774583333333,-2.9411666666666667,1.13936,0.44061,-22.6
101,0.7122916666666667,-1.5635277777777778,1.15191,0.43679,-22.0
102,2.1675,-0.20394444444444437,1.16428,0.43273,-21.4
103,3.6432916666666664,-0.8619722222222223,1.17644,0.42846,-20.8
104,5.140125,0.4628055555555556,1.18837,0.42396,-20.1
105,6.658375,0.2291111111111111,1.20006,0.41926,-19.4
106,8.198625000000002,0.93725,1.21149,0.41436,-18.7
107,9.761458333333334,1.6610277777777778,1.22263,0.40928,-18.0
108,11.347583333333333,2.399916666666667,1.23346,0.40404,-17.2
109,12.957791666666667,3.15325,1.24395,0.39864,-16.4
110,14.592958333333334,3.9203888888888887,1.25405,0.39312,-15.6
111,16.25391666666667,4.700555555555556,1.26374,0.38748,-14.7
112,17.941625,5.4928888888888885,1.27297,0.38176,-13.8
113,19.657,6.2965,1.28169,0.37599,-12.9
114,21.401041666666668,7.110333333333333,1.28986,0.37018,-12.0
115,23.174666666666667,7.933166666666667,1.29742,0.36438,-11.0
116,24.97875,8.763722222222222,1.3043,0.35862,-10.0
117,26.813999999999997,9.600472222222223,1.31045,0.35293,-9.0
118,28.681124999999998,10.44175,1.31579,0.34736,-7.9
119,30.580583333333333,11.285666666666666,1.32025,0.34196,-6.8
120,32.512541666666664,12.130083333333333,1.32376,0.33678,-5.7
121,34.47695833333333,12.972722222222222,1.32623,0.33185,-4.6
122,36.473375,13.810972222222222,1.32761,0.32724,-3.5
123,38.501000000000005,14.642083333333334,1.3278,0.323,-2.3
124,40.558416666666666,15.463,1.32674,0.31918,-1.1
125,42.644124999999995,16.27052777777778,1.32438,0.31582,0.1
126,44.75508333333334,17.061527777777776,1.32066,0.31299,1.3
127,46.88883333333333,17.832333333333334,1.31554,0.3107,2.5
128,49.041666666666664,18.57961111111111,1.309,0.30901,3.7
129,51.209583333333335,19.299972222222223,1.30103,0.30794,5.0
130,53.38791666666666,19.990222222222222,1.29165,0.3075,6.2
131,55.57179166666666,20.647277777777777,1.28089,0.30771,7.3
132,57.75591666666667,21.268472222222222,1.2688,0.30855,8.5
133,59.93491666666667,21.851444444444443,1.25545,0.31002,9.7
134,62.10333333333333,22.39425,1.24091,0.31209,10.8
135,64.25575,22.895416666666666,1.22529,0.31474,11.9
136,66.387,23.35388888888889,1.20868,0.31791,12.9
137,68.492125,23.769083333333334,1.1912,0.32157,13.9
